=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.21 19:42:21 =~=~=~=~=~=~=~=~=~=~=~=
Connected: F1:2C:71:91:F4:9D (random)
[SUBSCRIBED]
311252977 293272 259201 
311252977 293202 259119 
311252977 293163 259038 
311252977 293269 259212 
311252977 293185 259136 
311252977 293202 259105 
311252977 293235 259150 
311252977 293390 259401 
311252977 293446 259410 
311252977 293301 259374 
311252977 293207 259236 
311252977 293242 259261 
311252977 293308 259296 
311252977 293206 259189 
311252977 293239 259320 
311252977 293279 259327 
311252977 293294 259331 
311252977 293238 259296 
311252977 293206 259324 
311252977 293226 259335 
311252977 293190 259248 
311252977 293192 259215 
311252977 293211 259286 
311252977 293124 259224 
311252977 293070 259123 
311252977 293079 259114 
311252977 293148 259220 
311252977 293199 259216 
311252977 293207 259203 
311252977 293194 259177 
311252977 293035 259094 
311252977 292995 259050 
311252977 293008 259080 
311252977 293170 259242 
311252977 293071 259046 
311252977 293185 259207 
311252977 293074 259105 
311252977 293142 259165 
311252977 293210 259245 
311252977 293451 259585 
311252977 293305 259416 
311252977 293500 259613 
311252977 293560 259766 
311252977 293708 259887 
311252977 293644 259855 
311252977 293448 259581 
311252977 293365 259498 
311252977 293184 259292 
311252977 293306 259382 
311252977 293071 259124 
311252977 292964 258997 
311252977 292888 258904 
311252977 292823 258872 
311252977 292817 258817 
311252977 292811 258821 
311252977 292781 258721 
311252977 291791 257484 
311252977 285784 250223 
311252977 288002 252811 
311252977 283005 246968 
311252977 280237 244083 
311252977 278669 242393 
311252977 273739 236256 
311252977 270796 233085 
311252977 268912 231044 
311252977 266942 229341 
311252977 264880 227110 
311252977 263325 225447 
311252977 262869 224908 
311252977 262606 224639 
311252977 262740 224220 
311252977 261344 222723 
311252977 260750 222056 
[UNSUBSCRIBED]
Disconnected: F1:2C:71:91:F4:9D (random) (reason 0x08)
Scanning successfully started
